,title,published_date,views,likes,month
78,| Lakuri Bhanjyang | RIDE VLOG,2021-07-25T14:24:19Z,763386,38906,Jul
79,A Surprise for Myself ft. Snehila,2021-07-23T13:41:31Z,149273,11529,Jul
80,Shooting Arrows and Speaker Shopping,2021-07-19T12:15:01Z,161180,9226,Jul
81,| Little Things ✌️ |,2021-07-02T12:30:02Z,384694,24123,Jul
82,| BWAP 2021 first site visit | Namrata Shrestha,2021-06-25T12:59:37Z,266729,17172,Jun
83,| Exam Vlog | Masters at @phoenixcollege,2021-06-17T12:04:39Z,338724,19669,Jun
84,| Kathmandu - Tanje | Ride Vlog | Lamjung Honey Hunt ep. 1,2021-05-21T12:04:51Z,195020,10480,May
85,| NEPALGUNJ | West Nepal,2021-05-19T12:45:04Z,167127,9906,May
86,| TIHAR 2020 | purano vlog tara ramailo chha,2021-05-11T14:26:33Z,142102,8891,May
87,| Cloud Ride | ft. Manish Maharjan & KaltBiker| RIDE VLOG,2021-05-10T17:15:01Z,129194,7983,May
88,| Nepal's biggest Football League Begins |,2021-04-28T13:15:01Z,199168,14117,Apr
89,| Cricket Vlog | BHAIRAHAWA | ft. Paras Khadka,2021-04-23T11:15:00Z,168263,12001,Apr
90,| Sports Day with Prisoner's Assistance Nepal |,2021-04-20T14:08:09Z,118387,9524,Apr
91,| Cycling around Koshi Tapu | Part 2,2021-04-18T12:03:09Z,118028,6697,Apr
92,| Cycling around Koshi Tapu | Part 1,2021-04-07T13:06:50Z,163911,8307,Apr
93,"| Softwarica College visit with Binayak , Baneed & Robin |",2021-04-06T01:24:42Z,369526,19399,Apr
94,| PANDU VS UNIQ | HOLI 2021|,2021-04-05T01:15:01Z,331513,16007,Apr
95,| Tiger Reloaded | West Nepal | Episode 13 |,2021-03-30T15:36:48Z,128664,8179,Mar
96,| HOLI VLOG  | WEST NEPAL EPISODE 12,2021-03-27T15:13:50Z,176863,9813,Mar
97,| CAP HUNT | WEST NEPAL | EPISODE 11,2021-03-27T00:15:01Z,88012,5182,Mar
98,| KAILALI BORDER | WEST NEPAL | EPISODE 10,2021-03-25T15:11:23Z,86982,5436,Mar
99,| HEADING TO FAR WEST | WEST NEPAL | EPISODE 9,2021-03-24T14:07:21Z,80812,5142,Mar
100,| KHATIYA VLOG ?? |  DALLA HOME STAY | WEST NEPAL | EPISODE 8,2021-03-24T02:59:32Z,116316,6850,Mar
101,| KERA VLOG | Tikapur  | WEST NEPAL | EPISODE 7,2021-03-22T13:41:26Z,125258,6810,Mar
102,| CAKE FACE PLANT | Paradygm Office,2021-03-21T15:04:39Z,108087,5952,Mar
103,Karnali Rafting  | WEST NEPAL | EPISODE 6,2021-03-18T14:20:48Z,116760,6966,Mar
104,| HATTISAR SUNSET | WEST NEPAL | EPISODE 5,2021-03-16T12:11:14Z,98443,6077,Mar
105,| SHOOTING BLACKBUCKS | WEST NEPAL | EPISODE 4,2021-03-14T11:15:00Z,122790,6428,Mar
106,| TIGERS FIGHTING | WEST NEPAL | EPISODE 3,2021-03-12T11:15:00Z,269047,15593,Mar
107,| BUTWAL-BARDIYA | WEST NEPAL | EPISODE 2,2021-03-11T12:15:00Z,199426,11061,Mar
108,| Nepali Farmer's Market Tour | UTPALA,2021-03-10T11:15:01Z,310926,13771,Mar
109,| To The Mountains | Manang on Scooter |  Yamaha RayZR,2021-03-09T11:15:01Z,578309,28385,Mar
110,| Miss HARVARD 2021 |,2021-03-08T14:03:56Z,654270,46473,Mar
111,| 500k SURPRISE |,2021-03-07T14:41:57Z,556960,35184,Mar
112,| To the Mountains | Yamaha RayZR Teaser |,2021-03-04T03:00:57Z,105520,7886,Mar
113,| Back to RiverSide | PLAN B,2021-03-04T02:36:05Z,134024,8731,Mar
114,| Sickest Camera EVER | Samsung S21 Unboxing & Impressions |,2021-02-28T14:39:57Z,104422,7316,Feb
115,| Begnas Trip | PLAN B,2021-02-18T14:49:28Z,253891,14617,Feb
116,| Pokhara Trip | PLAN B,2021-02-12T11:30:59Z,272154,17248,Feb
117,|  SIRUBARI  |  Part 2  | PLAN B,2021-02-09T11:15:03Z,319796,19518,Feb
118,|  SIRUBARI  | Part 1 | Plan B,2021-02-08T11:15:03Z,215990,12616,Feb
119,| Panchase Vlog | PLAN B,2021-02-06T11:15:00Z,218727,13829,Feb
120,| Kathmandu to Panchase | PLAN B,2021-02-04T11:15:01Z,298674,19699,Feb
121,| Gearing UP | SWITCHBACK Nepal |,2021-02-03T14:21:58Z,121680,7121,Feb
122,| Upgrading to Sony a7siii | 16-35 GM 2.8,2021-01-29T12:08:19Z,132974,7478,Jan
123,| Pandu’s New Office |,2021-01-19T01:15:02Z,448468,24103,Jan
124,Movie Night in Jungle | Hattiban Camping and Cycling Vlog |,2021-01-17T13:36:04Z,304894,17513,Jan
125,| QUARANTINE VLOG !! | Paradygm TV |,2021-01-16T14:52:31Z,211269,11962,Jan
126,| Maghe Sangranti | Chaku Vlog | Kathmandu |,2021-01-15T03:06:01Z,183212,15014,Jan
127,| Out for some Awesome YOMARIS |,2021-01-12T13:15:01Z,135635,10916,Jan
128,| Baucha Returns to PARADYGM | BlackMagic 6k |,2021-01-07T13:15:00Z,214073,12654,Jan
129,Visit to NJK Studio | Mr. Brownie | Rebirth,2021-01-05T11:50:49Z,288517,21593,Jan
130,| Above the clouds | Ichhyakamana to Manungkot |,2021-01-01T15:12:44Z,334539,26159,Jan
131,| ABOVE THE CLOUDS | Teaser |,2020-12-25T14:12:17Z,68759,7054,Dec
132,| Dasain Vlog 2020| Changa Vlog | Corona Dasain |,2020-10-29T12:15:03Z,240711,13460,Oct
133,| Nuwakot Vlog Part 2 | Mailung Waterfall | Rasuwa |,2020-10-23T05:39:19Z,324444,15548,Oct
134,| Nuwakot Vlog Part 1 | Suryagadhi,2020-10-15T16:21:03Z,440825,19428,Oct
135,| Nuwakot - Rasuwa Trip Teaser  |  Chasing Waterfalls  |,2020-10-11T14:21:57Z,141019,8774,Oct
136,| Marble Dada | Awesome Place near Kathmandu |,2020-10-04T13:15:04Z,210187,10010,Oct
137,| Teendhare Jharana | AWESOME SATURDAYS |  Bahubali Jharana,2020-10-02T14:15:00Z,476964,25147,Oct
138,| Anu's Got his New Bike | RIDE VLOGS |,2020-09-26T01:15:00Z,149770,8571,Sep
139,| Best Laptop We've Ever Used | Asus Zenbook Pro Duo |,2020-09-24T15:15:03Z,111889,6083,Sep
140,| Pilot Baba | Awesome Saturdays | Yamaha Fascino |,2020-09-23T15:03:22Z,380932,18768,Sep
141,| Sound Healing | Nepal | Art and Music Mela,2020-09-22T13:53:02Z,123055,9897,Sep
142,| My Neighbor is a Celebrity ??? | Musical Vlog |,2020-09-21T15:10:16Z,206980,15141,Sep
143,|| OH Rome | Italy | Europe 2019 ||,2020-08-07T13:00:10Z,147469,7695,Aug
144,|| A day in Barcelona | Europe 2019 ||,2020-08-06T13:15:02Z,332406,17749,Aug
145,"|| Beach Life | GRAN CANARIA, SPAIN | Scuba | Europe 2019 ||",2020-08-03T13:30:01Z,213142,8799,Aug
146,|| Meeting my Cousins | PARIS to GRAN CANARIA | Europe 2019 ||,2020-08-02T14:15:01Z,207282,9364,Aug
147,| ACTION FOR ALL | 15 Products to BUY from Daraz |,2020-07-26T15:54:54Z,93630,4415,Jul
148,|| We get separated | Sikum's Workplace | Europe 2019 ||,2020-07-23T14:45:00Z,314262,14330,Jul
149,| Looking for a new ride | TVS Nepal | Paradygm |,2020-07-21T14:30:06Z,264391,13901,Jul
150,|| SWITZERLAND | Europe 2019 ||,2020-07-19T13:15:00Z,607325,24780,Jul
151,|| AUSTRIA | Vienna | Europe 2019 |,2020-07-17T13:15:01Z,151101,8866,Jul
152,| Gokyo Ice Skating | Highest Altitude Ice Hockey Game Ever,2020-07-14T14:15:04Z,609473,34990,Jul
153,| 6 Ways to Make Coffee at Home | Coffee Basics |  Nepali,2020-07-13T13:27:20Z,78801,5312,Jul
154,| About the Protest Tomorrow | Maitighar Mandala,2020-06-12T14:43:55Z,124622,11024,Jun
155,| Baluwatar Protest | Message To Our Leaders |,2020-06-10T13:20:18Z,304353,34733,Jun
156,| Trying to get back to Normal |,2020-06-06T01:15:03Z,119135,8949,Jun
157,| Divided We Fall |,2020-05-23T05:50:51Z,233515,20088,May
158,| My Earthquake Story | Sisan Baniya,2020-04-28T12:46:36Z,194731,16283,Apr
159,| What Next ? | Corona Updates Nepal | Podcast,2020-04-20T01:09:45Z,193602,12799,Apr
160,| My Crazy Family | Lockdown | NEPAL | Sisan Baniya,2020-04-14T01:15:02Z,411367,16608,Apr
161,| Greatest Gift Ever | ft. Vikal Prajapati,2020-04-11T13:15:00Z,86949,9054,Apr
162,Manang | ice climbing festival | Day 2,2020-04-09T13:15:00Z,126887,6183,Apr
163,| HERO X PULSE | In-Depth Review,2020-04-08T13:15:02Z,144432,6667,Apr
164,| Dharan Run 2020 | Inspirations everywhere | Nepal,2020-04-07T15:48:21Z,255039,14189,Apr
165,| Last Day Before Lockdown | Family Vlog |,2020-04-03T12:36:27Z,223355,9297,Apr
166,| Traveling with Nepali Musicians | ft The Elements x Sushant Ghimire,2020-03-31T01:15:00Z,186798,7683,Mar
167,| Jholey’s FPV crashed | Day 1 | MANANG ICE CLIMBING VLOGS |,2020-03-26T13:22:16Z,229760,10981,Mar
168,| Nepali Influencers Speak About Corona and Quarantine | Part 2,2020-03-26T01:15:00Z,244486,6684,Mar
169,| It's HERE !!! | Coronavirus Update Nepal | Sisan Baniya,2020-03-25T10:57:48Z,150952,7498,Mar
170,| Nepali Influencers Speak About Corona and Quarantine | Part 1,2020-03-25T01:15:00Z,115403,3905,Mar
171,| Corona Covid-19 Virus | Nepal Updates | Sisan Baniya,2020-03-22T09:21:11Z,480861,25699,Mar
172,| Paradygm Tries Boxing | Gymkhana |,2020-03-05T14:44:12Z,116985,4650,Mar
173,| Czech Republic | Prague | Europe 2019 |,2020-03-04T13:39:13Z,106263,5730,Mar
174,Manang Teaser,2020-03-01T14:57:32Z,136123,10322,Mar
175,|  Berlin | Germany Vlog | Europe 2019,2020-02-27T12:09:32Z,408363,14753,Feb
176,Brussels to Amsterdam | Europe 2019,2020-02-21T11:45:00Z,331382,13606,Feb
177,| Belgium - Brussels |  Europe 2019 |,2020-02-13T12:15:00Z,202760,7872,Feb
178,| Meeting Sikum In Paris | Day 2 |  Europe 2019 |,2020-02-07T13:15:01Z,223506,7969,Feb
179,| Tour de France | Day 1|  Europe 2019 |,2020-02-06T13:15:01Z,197112,8508,Feb
180,| Mero Aakhama Nepal Competition Winners | Hongshi Cement |,2020-02-05T12:15:00Z,137166,5419,Feb
181,| Made In Nepal Products 2020 |,2020-01-27T12:30:03Z,478150,18328,Jan
182,| Bull Fight in Nepal | Taruka Village | Nuwakot |,2020-01-22T12:15:00Z,161547,7859,Jan
183,| RIDING IN SNOW | MANANG |,2020-01-20T12:15:00Z,420565,18999,Jan
184,| One Day in a Classroom | Teach For Nepal |  LAMJUNG |,2020-01-19T12:15:00Z,225470,11223,Jan
185,| Skiing at Kalinchowk |,2020-01-16T13:08:03Z,546655,25609,Jan
186,| TECHMAX | Most Worth It Gadgets | Ft Milan Rai Moon,2020-01-12T13:52:06Z,129942,5902,Jan
187,| New Year Eve | Pokhara |,2020-01-07T14:55:42Z,447828,18938,Jan
188,| Visit Nepal 2020 | Opening Ceremony |,2020-01-02T12:18:23Z,231127,15964,Jan
189,| GymKhana Muay Thai Fight Night II | Lord of Drinks |,2019-12-30T15:36:38Z,115631,6018,Dec
190,| Visit to Solsing | BWAP Celebration |,2019-12-24T12:00:05Z,161051,10200,Dec
191,| PARADYGM RETREAT TO KURINTAR |,2019-12-23T13:15:01Z,164357,6569,Dec
192,| The Proposal | ft. Kenal. Sudhir,2019-12-22T14:34:29Z,216179,12947,Dec
193,Yatri Motorcycle Reveal | Kagbeni - Mustang | Part 2,2019-12-19T13:15:00Z,459479,22071,Dec
194,Mustang ft. Yatri | KTM to Kagbeni | Part 1,2019-12-17T15:43:58Z,367797,12445,Dec
195,| Makwanpur | Places to visit in Hetauda |,2019-12-09T14:15:30Z,327162,14426,Dec
196,| The Annapurna Experience | ABC Trek |,2019-12-05T13:15:18Z,1243701,34120,Dec
197,| KHUMBU VLOG | EVEREST  |  MISS NEPAL 2019  INTRODUCTION VIDEO | BTS  | ANUSHKA SHRESTHA |,2019-12-03T12:45:01Z,405513,17101,Dec
198,| 13th SAF GAMES KATHMANDU | AERIAL SHOTS |,2019-12-02T00:15:00Z,252991,12302,Dec
199,| Solsing Vlog | BWAP  2019 Part 2 | Miss Nepal 2019 | Anushka Shrestha |,2019-11-30T16:45:14Z,395474,24952,Nov
200,| Riding To Solsing | BWAP 2019 Part 1 | Miss Nepal 2019 | Anushka Shrestha |,2019-11-28T15:54:23Z,254721,12547,Nov
201,| JANAKPUR | CHHAT VLOG | Shrinkhala Birthday,2019-11-25T14:03:47Z,634632,27060,Nov
202,| The Annapurna Experience | ABC Trek | Teaser,2019-11-24T11:33:39Z,74321,5266,Nov
203,"| TECH REVIEW - SONY ACCESSORIES , IPHONE 11 PRO MAX & TECHMAX |",2019-11-19T13:15:01Z,291350,13839,Nov
204,| Beginner Vlog | Cycling around Bungmati/Khokana |,2019-11-15T01:15:02Z,196408,8310,Nov
205,| Riding Bullet Bike Around Pokhara |,2019-11-11T13:15:00Z,274367,11985,Nov
206,|  Tihar  Vlog  2019  |   ft Jholey . Manish Maharjan,2019-11-03T08:12:42Z,232291,14103,Nov
207,| BACK TO RIDING |,2019-10-21T13:15:01Z,158489,7036,Oct
208,| TIKA VLOG | DASHAMI 2019 |,2019-10-13T15:21:38Z,227487,9494,Oct
209,| CHANGA VLOG | 2nd Year | Dasain 2019,2019-10-09T12:54:08Z,236742,7527,Oct
210,| KHASI VLOG | DASAIN 2019,2019-10-08T14:38:20Z,228245,10166,Oct
211,| Nijgadh Vlog | ft. Vikki & Baneed |,2019-09-24T14:15:01Z,149818,6678,Sep
212,| What's In My Camera  Bag ? | 2019 | Switched to Sony |,2019-09-22T14:15:00Z,90855,4175,Sep
213,| Last Vlog From Chamonix | FRANCE day 6 | EUROPE 2019,2019-09-21T14:15:00Z,151181,5674,Sep
214,| CHAMONIX Mountain Practice Day | FRANCE day 5 | EUROPE 2019,2019-09-16T17:29:53Z,174562,6701,Sep
215,NADA Auto Show || 2019 || Nepal,2019-09-13T14:40:05Z,252493,6953,Sep
216,| CHAMONIX | FRANCE day 4 | EUROPE 2019,2019-09-12T15:17:50Z,253830,10954,Sep
217,| SNEAKERS SHOPPING WORTH Rs.100000 |  COMPLEX STYLE | LABELS NEPAL |,2019-09-11T15:25:28Z,372785,10411,Sep
218,| FIRE HAIRCUT fT. JHOLEY BHAI | DEEVAN |,2019-09-10T14:57:12Z,430753,15008,Sep
219,| Old Vlog | Roaming Around Basantapur |,2019-09-09T14:03:22Z,160460,6052,Sep
220,| GENEVA | SWITZERLAND day 3 | EUROPE 2019,2019-09-02T11:44:39Z,233099,11309,Sep
221,| ISTANBUL | TURKEY day 2 | EUROPE 2019,2019-08-08T13:15:02Z,338901,15900,Aug
222,"| Pokhara Vlog | Guitar Shop Opening | ft. The Elements, Chetan Vlogs, The Wayfarers & Team Paradygm",2019-08-05T13:15:00Z,241177,10266,Aug
223,| Training Before Climbing Mont Blanc & Tasting Sherpa Food |,2019-07-29T13:31:36Z,329766,12135,Jul
224,| ISTANBUL | TURKEY |  Europe 2019,2019-07-21T12:41:31Z,411905,17663,Jul
225,| A Day Before Our Tour | Bye Bye Nepal |,2019-07-18T14:18:25Z,342164,11709,Jul
226,| Unboxing My Girlfriend | Revealing ☺,2019-07-10T14:41:31Z,180290,12369,Jul
227,| Surprise Gift for Dad |,2019-07-08T11:59:08Z,254505,9976,Jul
228,| Rock Climbing In Nepal  | Bimalnagar | TVS Travel Series #3,2019-07-05T15:19:23Z,174223,9079,Jul
229,| Random Vlog | Kakarbhitta | Nepal - India Border,2019-07-03T02:26:37Z,179349,7715,Jul
230,| Another Long Vlog | Appa Movie Premiere |,2019-06-30T12:58:16Z,307827,11212,Jun
231,| Darjeeling | The Queen of hills |,2019-06-28T12:30:04Z,499611,19340,Jun
232,| Last Day at Kalimpong |,2019-06-24T13:15:01Z,330022,15256,Jun
233,"| Kalimpong Day 3 | Delo Park, Supermaket |",2019-06-19T14:15:01Z,300970,13974,Jun
234,| Kalimpong Day 2 | ft. Bipul Chettri n Appa Movie Makers,2019-06-17T01:15:02Z,606882,25045,Jun
235,| A Long Day | 1 hour vlog,2019-06-16T01:15:01Z,254953,7385,Jun
236,| Sath Sadhaiko | Short Film Making Competition,2019-06-14T13:30:59Z,78666,4111,Jun
237,| Meme Nepal & Bir Bikram 2 |,2019-06-13T19:30:08Z,146241,7929,Jun
238,| Kathmandu to Kalimpong |,2019-06-12T14:43:49Z,282945,10680,Jun
239,| NimsDai | Project Possible ft. Madesire,2019-06-10T18:01:30Z,333028,21489,Jun
240,| PARADYGM Recruits | TRAVIS RESTAURANT |,2019-06-03T13:15:00Z,169972,6379,Jun
241,|  Kathmandu Youth Conclave 2019 |,2019-05-21T12:07:23Z,102308,7391,May
242,||| Birthday Vlog 2019 ||| big 30,2019-05-19T19:29:49Z,291678,13945,May
243,| HOSPITAL VLOG | SPINE SURGERY | NEPAL |,2019-05-16T13:15:00Z,422036,15844,May
244,| A SMALL ANNOUNCEMENT | SAATH SADHAIKO - SHORT FILM COMPETITION |,2019-04-25T15:32:48Z,79195,4730,Apr
245,| PHOTOKIPA -  SMALLEST DRONE | ft. The Wayfarers |,2019-04-11T14:15:01Z,170108,7600,Apr
246,| WEST NEPAL | EPISODE 1,2019-03-15T14:53:43Z,415864,21161,Mar
247,"| MEETING NEPALI TRAVELERS | ft. HONEYGUIDE, GHUMANTE",2019-02-04T14:44:27Z,89452,3468,Feb
248,| BUTWAL 2019 |  GUITAR SHOP STORE  OPENING | ft Chetan VLogs |,2019-01-28T16:21:26Z,116864,5052,Jan
249,| KTM - BUTWAL 2019 | ft Chetan VLogs | GUITAR SHOP,2019-01-25T13:15:00Z,160635,7028,Jan
250,| MY FIRST MOVIE EXPERIENCE | ANAAGAT |,2019-01-24T18:11:29Z,98657,4223,Jan
251,| ANNOUNCEMENT FOR MUSICIANS | ft. Mantra Guitars,2019-01-15T13:21:15Z,122317,6060,Jan
252,| Blanket Distribution | COMING TOGETHER | ft Shrinkhala Khatiwada,2019-01-04T03:31:35Z,386867,27883,Jan
253,| 2018 YEAR REVIEW | Sisan Baniya,2018-12-31T15:16:49Z,111216,5499,Dec
254,"| Pokhara 2018 | Day 4 | ft. Lurey Rohit, Milan Thapa, Neeraj Pun, Darshan",2018-12-23T13:00:01Z,191585,8637,Dec
255,| Pokhara 2018 | Day 2 | ft. Sydney Gurung | NEWMEW |,2018-12-19T13:15:00Z,225191,7918,Dec
256,Hustle Up - Sisan Baniya X Darshan Pokhrel,2018-12-14T14:07:21Z,115921,6124,Dec
257,| POKHARA 2018 | Day 1,2018-12-13T05:58:56Z,74168,3857,Dec
258,| FUTSAL FOR CHARITY | ft. THAMES COLLEGE,2018-12-09T16:39:42Z,69902,3629,Dec
259,| Almost Done | FLYING 180kgs of Clothes with Prabhu Helicopters,2018-12-08T07:06:53Z,98780,6943,Dec
260,| 6000 Kilos Collected | Thank you All!!,2018-12-03T14:47:42Z,90052,6530,Dec
261,| SUSHI FOR CHARITY | Octave Kathmandu,2018-11-27T16:14:02Z,119022,6518,Nov
262,| GOSAIKUNDA Vlog | Shrinkhala Khatiwada Intro BTS ft Abin x Manish x Ajay,2018-11-21T15:33:45Z,1318896,61922,Nov
263,| Tihar Vlog 2018 | ft. Abin Bho & Shrinkhala Khatiwada,2018-11-13T06:38:35Z,1017787,35715,Nov
264,| CHEPANG |  ft. Miss Nepal 2018 Shrinkhala Khatiwada | BWAP Extented,2018-11-04T00:56:43Z,1388933,82979,Nov
265,| CHUMLINGTAR | Siddhartha Resort | ft . Saman Shrestha,2018-11-02T15:28:57Z,80203,3340,Nov
